Coin,Ticker,Price,1h,24h,7d,24h Volume,Mkt Cap,Fully Diluted Valuation
Moonbeam,GLMR,0.435913,0.2%,-3.2%,-8.9%,13328796.0,242824002.0,459451046.0
Baby Doge Coin,BABYDOGE,1.531e-09,-0.1%,3.0%,28.8%,3604212.0,242596719.0,639701462.0
Sushi,SUSHI,1.24,0.4%,-1.7%,-7.3%,49949006.0,239248274.0,310245860.0
FLOKI,FLOKI,2.566e-05,-0.6%,8.1%,113.8%,24041263.0,238391799.0,0.0
yearn.finance,YFI,7199.25,0.3%,-2.8%,-8.0%,27596773.0,235721595.0,263603026.0
JUST,JST,0.02606335,-0.3%,0.5%,2.5%,21234316.0,231813210.0,257799388.0
Golem,GLM,0.229955,0.6%,-1.1%,-2.8%,3078543.0,229921715.0,0.0
TerraClassicUSD,USTC,0.02393259,5.4%,10.3%,4.1%,20994158.0,229175149.0,0.0
Escoin,ELG,2.95,0.1%,1.3%,-0.0%,344720.0,144795168.0,0.0
Liquity USD,LUSD,1.01,0.2%,0.0%,-1.0%,2944115.0,228106226.0,0.0
BinaryX,BNX,85.57,-0.0%,2.3%,3.5%,4226730.0,226198387.0,1800830597.0
NuCypher,NU,0.172638,-1.8%,3.1%,11.3%,3950925.0,225154041.0,673191608.0
Astar,ASTR,0.055545,0.6%,2.6%,8.3%,6160778.0,223474528.0,430015797.0
Euro Tether,EURT,1.08,0.2%,-0.3%,-0.3%,1130747.0,223261799.0,433520573.0
SwissBorg,CHSB,0.231863,0.2%,0.2%,-1.5%,520149.0,220628041.0,0.0
Edgecoin,EDGT,1.0,-0.1%,-0.3%,-0.2%,32228574.0,215264750.0,1000008124812.0
Injective,INJ,2.75,0.5%,0.7%,37.5%,88111293.0,214504866.0,274986653.0
Gains Farm,GFARM2,5897.05,0.2%,-2.9%,26.3%,48125.0,211278277.0,211278277.0
Ankr Network,ANKR,0.02545995,0.2%,-1.9%,-5.3%,17555756.0,207497432.0,254195749.0
Huobi BTC,HBTC,22847.68,0.1%,-1.3%,-0.6%,182240.0,204901306.0,204901306.0
SingularityNET,AGIX,0.169469,0.6%,-1.8%,-8.6%,18187193.0,203098081.0,338744689.0
WEMIX,WEMIX,0.792696,-0.5%,2.0%,6.3%,3799935.0,199409717.0,766151233.0
OMG Network,OMG,1.37,0.3%,-4.0%,-3.4%,20858393.0,192055563.0,192055563.0
Livepeer,LPT,6.99,-0.3%,-0.6%,4.3%,6935673.0,189822086.0,189822086.0
Onyxcoin,XCN,0.01139659,0.0%,-0.3%,-5.3%,6230358.0,187715493.0,552006660.0
Dogelon Mars,ELON,3.40075e-07,0.1%,-0.2%,-0.9%,2878012.0,186882945.0,340069310.0
Evmos,EVMOS,0.451488,0.0%,2.5%,-9.6%,1083807.0,186501084.0,451307831.0
Biconomy,BICO,0.403555,-0.2%,-8.4%,6.8%,13642680.0,184595343.0,403584250.0
Bitgert,BRISE,4.73687e-07,12.0%,38.6%,28.2%,4012936.0,184420910.0,466076327.0
Gains Network,GNS,6.03,0.3%,0.1%,29.7%,4612679.0,183477047.0,183212513.0
ICON,ICX,0.202851,0.5%,-2.2%,-0.9%,9710933.0,182216095.0,0.0
0x,ZRX,0.214686,0.4%,-2.1%,-5.5%,11932607.0,182019106.0,214772806.0
Ontology,ONT,0.205621,-0.0%,-3.1%,-1.2%,9675043.0,180096739.0,0.0
Reserve Rights,RSR,0.00418133,0.1%,-2.6%,-6.4%,12773773.0,176777595.0,417890977.0
IOST,IOST,0.00939367,0.4%,-2.6%,-6.6%,12777259.0,174107182.0,842964159.0
Alchemix USD,ALUSD,0.991859,0.1%,0.5%,0.8%,3389157.0,172574149.0,0.0
DAO Maker,DAO,1.16,2.3%,-10.9%,36.5%,16426354.0,172070155.0,322676886.0
Multichain,MULTI,8.8,-0.1%,-0.0%,-4.9%,2397886.0,170656819.0,0.0
BORA,BORA,0.182822,0.2%,-4.0%,0.0%,10032458.0,169629314.0,220518109.0
cUSDT,CUSDT,0.02103974,-0.1%,-0.2%,7.9%,172.0,168589620.0,0.0
Polymath,POLY,0.186996,-0.5%,-1.4%,1.0%,595669.0,168538418.0,0.0
Bitkub Coin,KUB,1.87,-0.3%,-2.3%,-6.2%,1020619.0,166398025.0,206007684.0
DigiByte,DGB,0.01023998,-0.0%,-0.8%,-4.4%,3585820.0,163806054.0,0.0
Beldex,BDX,0.04015845,0.0%,-0.3%,-3.1%,1993878.0,161575902.0,398493855.0
SafePal,SFP,0.498949,0.3%,5.7%,7.3%,42584888.0,160908706.0,249586949.0
CANTO,CANTO,0.375718,0.3%,-4.4%,108.2%,26784514.0,159131764.0,375709045.0
Siacoin,SC,0.00307203,0.2%,-0.9%,-1.7%,4484192.0,158779742.0,0.0
Voyager VGX,VGX,0.541243,2.6%,29.4%,31.7%,227984699.0,157766910.0,0.0
Coin,Ticker,Price,1h,24h,7d,24h Volume,Mkt Cap,Fully Diluted Valuation
Bitcoin,BTC,22871.16,0.1%,-1.2%,-0.4%,33342282113.0,440905862586.0,480294444000.0
Ethereum,ETH,1572.84,0.2%,-0.7%,-3.7%,8815202371.0,189559120794.0,189559120794.0
Tether,USDT,1.0,-0.0%,-0.1%,-0.2%,43149122238.0,67820037202.0,67820037202.0
USD Coin,USDC,1.0,0.1%,-0.0%,-0.1%,3034925431.0,42790843659.0,42790831620.0
BNB,BNB,310.0,0.2%,1.0%,1.3%,729956201.0,41819794173.0,61996362684.0
XRP,XRP,0.401015,0.2%,0.1%,-6.0%,1239608374.0,20371275480.0,40098085508.0
Binance USD,BUSD,1.0,0.0%,0.0%,-0.1%,9778908099.0,15737051948.0,15737051948.0
Cardano,ADA,0.374725,0.3%,-1.5%,-0.4%,325986507.0,13132348816.0,16862757753.0
Dogecoin,DOGE,0.092212,0.3%,7.2%,3.8%,1862309971.0,12718902399.0,0.0
Polygon,MATIC,1.09,0.4%,-2.6%,9.2%,521241840.0,9811789581.0,10895367587.0
OKB,OKB,37.36,0.6%,-0.3%,3.6%,27798095.0,9215126840.0,11208845087.0
Solana,SOL,23.73,0.3%,-2.0%,-2.9%,769119515.0,8816645790.0,12802675799.0
Lido Staked Ether,STETH,1566.44,0.2%,-1.0%,-4.7%,185471713.0,7860897266.0,7860902149.0
Polkadot,DOT,6.21,0.2%,-1.3%,-5.8%,233869666.0,7431622707.0,7933930934.0
Shiba Inu,SHIB,1.172e-05,0.1%,1.0%,-2.7%,379343436.0,6909746813.0,0.0
Litecoin,LTC,93.8,0.2%,0.1%,4.0%,994614480.0,6770162061.0,7879205140.0
Avalanche,AVAX,19.46,0.1%,-3.0%,7.9%,565666828.0,6127626221.0,14013102338.0
TRON,TRX,0.062056,-0.0%,-0.0%,-1.4%,412656987.0,5697530700.0,5697531634.0
Dai,DAI,1.0,0.2%,0.1%,0.1%,171528353.0,5117685250.0,5117695253.0
Uniswap,UNI,6.5,0.4%,-1.9%,-3.4%,101197827.0,4898211583.0,6498312803.0
Wrapped Bitcoin,WBTC,22808.16,0.2%,-1.1%,-0.6%,137046723.0,4026700165.0,4026700165.0
Cosmos Hub,ATOM,13.1,0.1%,-1.1%,-0.1%,161494636.0,3833911411.0,0.0
Chainlink,LINK,6.93,-0.1%,-1.2%,-1.6%,272014941.0,3404972933.0,6926308243.0
Toncoin,TON,2.3,0.7%,-0.4%,-0.0%,33610978.0,3389630677.0,11633205704.0
LEO Token,LEO,3.52,-0.2%,-0.9%,1.6%,688872.0,3279161891.0,0.0
Monero,XMR,174.73,0.2%,-4.0%,-2.6%,96926713.0,3171561366.0,0.0
Ethereum Classic,ETC,21.44,0.3%,-1.9%,-6.0%,186223253.0,2984708678.0,4517506511.0
Aptos,APT,16.56,1.1%,-6.5%,28.5%,518215877.0,2670741260.0,16861311620.0
Bitcoin Cash,BCH,132.76,-0.1%,0.6%,-0.6%,205765938.0,2562251630.0,2788087566.0
Stellar,XLM,0.089973,-0.1%,-1.5%,-5.0%,65134489.0,2363510961.0,4498128970.0
ApeCoin,APE,5.79,0.0%,-3.3%,2.8%,169761478.0,2132548851.0,5785634865.0
Quant,QNT,142.87,0.7%,-1.4%,-0.7%,35466987.0,2077412934.0,2087168853.0
Cronos,CRO,0.077941,0.2%,-1.5%,-3.3%,17120884.0,1968731842.0,0.0
NEAR Protocol,NEAR,2.3,0.1%,-3.6%,-9.8%,175922139.0,1961603984.0,2302744510.0
Filecoin,FIL,5.04,-0.1%,-1.8%,-7.3%,142722389.0,1891138833.0,9905174602.0
Lido DAO,LDO,2.08,0.2%,-1.6%,-18.2%,112794863.0,1740596349.0,2077673014.0
Algorand,ALGO,0.237184,-0.1%,-3.5%,-5.4%,76268373.0,1707289852.0,2371429389.0
VeChain,VET,0.02308021,0.0%,-1.1%,0.6%,74215365.0,1673517907.0,2001280544.0
Hedera,HBAR,0.064481,0.1%,-1.8%,-6.1%,39173770.0,1632421908.0,3223341704.0
Internet Computer,ICP,5.7,0.2%,-2.7%,-1.9%,48846900.0,1623409714.0,2676322383.0
Decentraland,MANA,0.738502,1.0%,-2.4%,1.5%,254106912.0,1342979045.0,1617981374.0
Axie Infinity,AXS,10.66,0.6%,-5.2%,-13.4%,133621292.0,1227161219.0,2877702875.0
Fantom,FTM,0.47765,-0.8%,3.3%,18.3%,481823453.0,1213288302.0,1515922405.0
Aave,AAVE,81.07,0.2%,-1.6%,-6.6%,84523612.0,1154990868.0,1297139008.0
EOS,EOS,1.05,0.5%,-1.7%,-4.1%,119094893.0,1149855615.0,0.0
The Sandbox,SAND,0.722164,0.4%,-3.5%,-9.1%,185724586.0,1145989346.0,2165605468.0
MultiversX,EGLD,42.71,-0.2%,-1.4%,-3.1%,22975991.0,1064189988.0,1341112373.0
Flow,FLOW,0.994929,0.3%,-2.6%,-16.3%,50264359.0,1030882133.0,1402825739.0
Frax,FRAX,1.0,0.2%,0.1%,0.1%,11079102.0,1024088791.0,1024088791.0
Theta Network,THETA,1.01,0.0%,-3.2%,-5.3%,27471397.0,1013326735.0,1013326735.0
Terra Luna Classic,LUNC,0.00016918,1.8%,0.1%,-5.7%,81362548.0,1008945741.0,1161700129.0
Tezos,XTZ,1.07,0.2%,-2.2%,-4.7%,33167227.0,978108864.0,0.0
Pax Dollar,USDP,0.992948,0.1%,-0.8%,-0.5%,2692800.0,960822484.0,960822484.0
TrueUSD,TUSD,0.999602,0.0%,-0.1%,-0.3%,54626030.0,944560611.0,0.0
Huobi,HT,5.11,-0.3%,0.2%,0.8%,9151122.0,829274171.0,1042006520.0
Bitcoin SV,BSV,42.47,0.1%,-1.8%,-5.5%,22340787.0,818288428.0,891933387.0
KuCoin,KCS,8.2,0.1%,-0.1%,2.1%,1149498.0,799044616.0,0.0
The Graph,GRT,0.088042,-0.1%,-1.2%,-2.5%,44818463.0,778121451.0,880415125.0
Frax Share,FXS,10.27,0.6%,0.5%,-1.3%,14104213.0,752844192.0,1025013411.0
Curve DAO,CRV,1.0,-0.2%,-2.8%,-6.0%,70114681.0,729014835.0,3316557156.0
Rocket Pool,RPL,37.76,-1.1%,-0.3%,1.6%,6913779.0,722210319.0,722210319.0
USDD,USDD,0.99137,-0.0%,-0.1%,0.4%,27601770.0,719352207.0,0.0
Synthetix Network,SNX,2.28,0.4%,-0.8%,-11.4%,29366498.0,713299274.0,714952606.0
Chiliz,CHZ,0.132054,0.2%,-2.9%,-6.4%,133164966.0,705382451.0,1173276658.0
eCash,XEC,3.597e-05,-0.2%,0.2%,8.7%,26744012.0,694039881.0,755360607.0
Trust Wallet,TWT,1.65,-1.0%,2.4%,7.9%,118424422.0,687488420.0,0.0
BitTorrent,BTT,7.16826e-07,-0.0%,-1.5%,-3.5%,17964996.0,682112131.0,709770441.0
Dash,DASH,59.97,-0.1%,0.2%,15.1%,204369873.0,667141588.0,0.0
PancakeSwap,CAKE,4.01,0.3%,0.6%,2.1%,38613788.0,662660512.0,3004849108.0
Gate,GT,4.41,0.5%,1.7%,6.3%,470130.0,641460249.0,0.0
Mina Protocol,MINA,0.778315,1.0%,-9.6%,31.8%,182911510.0,641093835.0,777481824.0
Klaytn,KLAY,0.201041,0.2%,-2.1%,-3.8%,29727929.0,621071205.0,0.0
IOTA,MIOTA,0.222372,0.2%,-2.7%,-3.7%,14560787.0,618017294.0,0.0
cUSDC,CUSDC,0.02276837,0.0%,0.1%,0.2%,5.7,606024838.0,0.0
Zcash,ZEC,45.36,0.3%,1.1%,-3.7%,59076247.0,587329551.0,952352329.0
BitDAO,BIT,0.502481,1.0%,-9.1%,-11.1%,47536936.0,585698821.0,4829083545.0
Maker,MKR,640.5,0.2%,-0.7%,-9.4%,18028523.0,577232377.0,644008157.0
Gemini Dollar,GUSD,1.0,0.1%,0.1%,0.2%,506899.0,572830293.0,572830293.0
NEO,NEO,8.1,0.2%,-0.5%,-0.1%,35334845.0,570922507.0,0.0
cDAI,CDAI,0.02214505,0.0%,-0.2%,-0.1%,2248.0,559036063.0,564034010.0
ImmutableX,IMX,0.700034,-0.2%,1.8%,-2.2%,38660747.0,554240909.0,1396511452.0
OKC,OKT,30.04,0.2%,-2.6%,-2.3%,4921245.0,536073757.0,1252216834.0
THORChain,RUNE,1.76,0.1%,-2.5%,1.3%,79414973.0,529286062.0,880088251.0
Tokenize Xchange,TKX,6.6,0.1%,0.3%,-5.2%,7271321.0,528282850.0,660386582.0
Radix,XRD,0.052025,-0.4%,-6.6%,21.8%,844696.0,525277483.0,1249189313.0
Arweave,AR,10.11,0.2%,-2.8%,2.8%,30492507.0,506272479.0,666832619.0
PAX Gold,PAXG,1880.83,-0.4%,-1.4%,-2.0%,9674144.0,505449799.0,0.0
Osmosis,OSMO,0.959712,0.2%,-2.2%,0.2%,19420109.0,502239886.0,959802955.0
BTSE Token,BTSE,2.98,6.3%,-3.8%,13.1%,889222.0,482302422.0,595209127.0
GMX,GMX,56.89,0.3%,-2.3%,3.6%,35336121.0,479455840.0,753682052.0
Flare,FLR,0.04293851,0.1%,-8.0%,9.1%,28363444.0,471609355.0,4319251828.0
Tether Gold,XAUT,1892.92,0.0%,-1.3%,-0.5%,1674489.0,465923568.0,465923568.0
NEXO,NEXO,0.825059,0.5%,0.5%,-0.0%,8469979.0,461939638.0,824892196.0
cETH,CETH,31.6,0.1%,-0.7%,-3.4%,824.0,456165578.0,456165578.0
Optimism,OP,2.1,0.2%,-3.4%,-4.0%,216095348.0,450176921.0,9003538419.0
Convex Finance,CVX,5.88,0.4%,-3.6%,10.3%,10678062.0,435545555.0,587687509.0
Enjin Coin,ENJ,0.432512,0.4%,-1.2%,-0.1%,41897984.0,432308549.0,432308549.0
Zilliqa,ZIL,0.02661332,0.2%,-3.1%,-6.8%,47870478.0,427698803.0,558652841.0
Terra,LUNA,2.02,1.4%,-1.7%,-10.1%,63408828.0,418750305.0,2137331019.0
Render,RNDR,1.37,-0.1%,13.7%,56.7%,111264684.0,408762937.0,723793505.0
Coin,Ticker,Price,1h,24h,7d,24h Volume,Mkt Cap,Fully Diluted Valuation
Constellation,DAG,0.05951,0.2%,4.7%,-1.4%,566441.0,155887519.0,0.0
SXP,SXP,0.281464,0.3%,-1.9%,-3.3%,14404925.0,155544306.0,155544392.0
WAX,WAXP,0.066488,0.7%,-2.7%,-3.9%,12647288.0,155300866.0,250157918.0
Energy Web,EWT,3.39,-0.6%,-1.7%,-6.8%,1269660.0,154591828.0,339984501.0
SafeMoon,SFM,0.00027162,1.7%,-4.6%,-3.9%,672719.0,152602884.0,0.0
Telcoin,TEL,0.0021881,0.6%,-3.7%,-13.6%,1369310.0,148558813.0,0.0
Metis,METIS,33.93,-0.4%,0.5%,32.4%,13672637.0,147955828.0,339790787.0
Ocean Protocol,OCEAN,0.340126,0.4%,-8.1%,-5.1%,29801941.0,147678173.0,479754260.0
Nest Protocol,NEST,0.0247881,-0.0%,-0.2%,-0.2%,1196857.0,147391690.0,248599250.0
Agoric,BLD,0.443756,-0.5%,-0.8%,5.4%,663792.0,146359489.0,556308144.0
Secret,SCRT,0.749096,0.3%,-1.5%,-8.1%,2111856.0,145142916.0,0.0
ConstitutionDAO,PEOPLE,0.02818485,-0.6%,4.5%,1.0%,68532444.0,143117044.0,143117044.0
Hive,HIVE,0.385685,0.1%,-4.4%,-4.2%,6966691.0,143089100.0,0.0
Ribbon Finance,RBN,0.22651,-0.2%,-3.9%,-17.2%,411215.0,141626510.0,226717189.0
SKALE,SKL,0.03388414,0.5%,-5.3%,-5.2%,12786512.0,140638471.0,237077595.0
LUKSO,LYXE,9.1,-0.3%,1.5%,1.0%,1230496.0,140389043.0,911267113.0
UMA,UMA,1.99,0.3%,-2.1%,-0.1%,6679800.0,138127190.0,224505412.0
CoinEx,CET,0.04327619,0.1%,-0.2%,-5.7%,407908.0,137789441.0,433656955.0
Ecoin,ECOIN,0.00029488,-0.2%,-38.7%,-1.9%,19.99,136029967.0,0.0
Synapse,SYN,0.714499,0.4%,-7.1%,-17.1%,3585175.0,135737154.0,178491053.0
Illuvium,ILV,65.78,-0.1%,-2.4%,3.1%,10184376.0,134954811.0,657598817.0
STASIS EURO,EURS,1.08,0.1%,-0.9%,-0.9%,231172.0,134256631.0,134256631.0
Serum,SRM,0.356922,0.0%,-5.9%,-13.7%,8000224.0,133409448.0,3636367434.0
Horizen,ZEN,10.0,0.7%,-4.2%,-7.6%,17944667.0,133218008.0,210084383.0
Keep Network,KEEP,0.24103,0.8%,16.6%,23.0%,3905543.0,132998848.0,241940885.0
Shardus,ULT,0.298073,0.0%,-0.7%,-6.3%,4803.0,131075032.0,0.0
VVS Finance,VVS,4.02e-06,0.4%,-1.1%,-1.1%,508436.0,131037002.0,402157974.0
Lisk,LSK,0.911932,0.7%,-1.3%,-3.2%,3240396.0,130978223.0,0.0
Bitcoin Avalanche Bridged (BTC.b),BTC.B,22829.57,-0.1%,-1.3%,-0.7%,10658560.0,130972088.0,0.0
APENFT,NFT,4.67258e-07,0.1%,1.0%,-0.9%,9281815.0,129553486.0,467561453.0
Merit Circle,MC,0.371064,0.6%,-0.6%,4.9%,6361263.0,128879530.0,242931239.0
Tenset,10SET,0.7091,0.2%,0.5%,9.3%,136865.0,128743597.0,128743597.0
Frax Ether,FRXETH,1573.02,0.2%,-0.7%,-3.6%,152451.0,127837008.0,127838581.0
Polymesh,POLYX,0.181268,1.0%,-2.7%,-6.5%,10366805.0,126987143.0,126987143.0
SSV Network,SSV,17.93,-2.2%,7.4%,-6.0%,21767374.0,126398023.0,199554940.0
Creditcoin,CTC,0.60463,-0.0%,3.0%,7.1%,8048420.0,125802457.0,1212762577.0
Aragon,ANT,3.1,0.9%,5.9%,1.3%,23643060.0,124329291.0,140061152.0
Nervos Network,CKB,0.003696,1.0%,0.1%,13.3%,3307742.0,122281892.0,0.0
PlayDapp,PLA,0.226591,0.2%,-2.3%,-4.9%,9144488.0,121272923.0,0.0
Kyber Network Crystal,KNC,0.736465,0.2%,-4.5%,-11.3%,15235938.0,120704545.0,166149504.0
iExec RLC,RLC,1.66,0.7%,-1.3%,-6.3%,11647488.0,120414702.0,144731755.0
Smooth Love Potion,SLP,0.00297857,1.0%,-3.0%,-8.6%,13883941.0,118786565.0,0.0
API3,API3,1.51,0.5%,-1.4%,-6.3%,6731644.0,118607823.0,182107233.0
Ronin,RON,0.799083,-0.2%,-9.0%,31.7%,6127818.0,118625613.0,799691076.0
Songbird,SGB,0.01045106,0.2%,-6.0%,-6.9%,765604.0,117526735.0,175435038.0
Function X,FX,0.201819,-0.3%,0.0%,6.0%,1920294.0,116558668.0,382737110.0
Pundi X,PUNDIX,0.448187,0.7%,-2.5%,0.9%,15183612.0,115618223.0,115618223.0
Nano,XNO,0.867025,1.5%,1.8%,5.6%,15294699.0,115348505.0,115348505.0
Ergo,ERG,1.76,-1.0%,-0.5%,-0.9%,948753.0,115340554.0,0.0
Tribe,TRIBE,0.251935,4.9%,-1.3%,0.9%,141711.0,114746676.0,252181890.0
Artificial Liquid Intelligence,ALI,0.03185259,0.1%,-10.2%,-10.4%,962809.0,114219353.0,318322584.0
COTI,COTI,0.104926,5.5%,1.8%,17.1%,32431927.0,113969765.0,205602105.0
Conflux,CFX,0.054308,1.8%,-7.8%,86.3%,23095994.0,113862866.0,0.0
sETH2,SETH2,1572.56,0.2%,-0.1%,-3.0%,522158.0,113089673.0,0.0
Gitcoin,GTC,1.88,-0.2%,2.5%,8.3%,12409225.0,112672497.0,188059107.0
Syscoin,SYS,0.157404,0.3%,-5.9%,-0.1%,5615398.0,109850023.0,118206477.0
Decentralized Social,DESO,10.39,0.2%,-6.8%,5.7%,595873.0,109098206.0,111959622.0
Marinade staked SOL,MSOL,25.91,0.6%,-1.6%,-2.5%,1403254.0,109020856.0,109020856.0
Saitama,SAITAMA,0.0024098,0.1%,-6.2%,-14.4%,1289501.0,107668935.0,240806356.0
BENQI Liquid Staked AVAX,SAVAX,20.71,0.2%,-2.9%,8.3%,1305199.0,107596672.0,0.0
My Neighbor Alice,ALICE,1.77,0.3%,-3.6%,8.3%,53086842.0,105628721.0,176678865.0
LooksRare,LOOKS,0.191259,-0.1%,-4.3%,-10.7%,5569620.0,104231509.0,191304331.0
CEEK Smart VR,CEEK,0.126226,-0.4%,-1.8%,12.8%,5257769.0,103037710.0,0.0
DeXe,DEXE,2.77,1.9%,4.4%,4.3%,3547476.0,102534650.0,0.0
Alpha Venture DAO,ALPHA,0.135222,0.2%,-5.3%,-0.9%,3788368.0,101352825.0,135137099.0
Status,SNT,0.02539068,0.4%,-1.1%,-3.9%,2624562.0,100634112.0,0.0
Lido Staked SOL,STSOL,25.74,0.2%,-1.6%,-2.7%,1513456.0,100357701.0,100357575.0
JUNO,JUNO,1.49,0.0%,-2.2%,3.0%,381613.0,100287365.0,276078429.0
Concordium,CCD,0.01477351,0.1%,1.9%,97.7%,800128.0,99188941.0,0.0
Numeraire,NMR,16.13,0.4%,-1.2%,-6.2%,2638294.0,99086595.0,177376997.0
Celer Network,CELR,0.01756334,-0.3%,-6.6%,2.1%,24445641.0,98974492.0,175317124.0
USDX,USDX,0.878051,-0.1%,-0.1%,-0.6%,253862.0,97825874.0,0.0
Cartesi,CTSI,0.147112,0.1%,0.0%,-1.9%,9121908.0,96148116.0,146970419.0
Chromia,CHR,0.169611,1.1%,-1.8%,10.5%,31492742.0,95395119.0,169652726.0
Bifrost,BFC,0.075556,0.1%,-7.2%,-7.5%,6923079.0,95362117.0,178189205.0
PlatonCoin,PLTC,0.834587,-0.1%,-0.3%,-0.7%,6.43,95263088.0,250473960.0
Wrapped Centrifuge,WCFG,0.263306,-0.0%,-5.2%,-3.6%,82140.0,95049800.0,0.0
