Coin,Ticker,Price,1h,24h,7d,24h Volume,Mkt Cap,Fully Diluted Valuation
Polymesh,POLYX,0.181268,1.0%,-2.7%,-6.5%,10366805.0,126987143.0,126987143.0
SSV Network,SSV,17.93,-2.2%,7.4%,-6.0%,21767374.0,126398023.0,199554940.0
Creditcoin,CTC,0.60463,-0.0%,3.0%,7.1%,8048420.0,125802457.0,1212762577.0
Aragon,ANT,3.1,0.9%,5.9%,1.3%,23643060.0,124329291.0,140061152.0
Nervos Network,CKB,0.003696,1.0%,0.1%,13.3%,3307742.0,122281892.0,0.0
PlayDapp,PLA,0.226591,0.2%,-2.3%,-4.9%,9144488.0,121272923.0,0.0
Kyber Network Crystal,KNC,0.736465,0.2%,-4.5%,-11.3%,15235938.0,120704545.0,166149504.0
iExec RLC,RLC,1.66,0.7%,-1.3%,-6.3%,11647488.0,120414702.0,144731755.0
Smooth Love Potion,SLP,0.00297857,1.0%,-3.0%,-8.6%,13883941.0,118786565.0,0.0
API3,API3,1.51,0.5%,-1.4%,-6.3%,6731644.0,118607823.0,182107233.0
Ronin,RON,0.799083,-0.2%,-9.0%,31.7%,6127818.0,118625613.0,799691076.0
Songbird,SGB,0.01045106,0.2%,-6.0%,-6.9%,765604.0,117526735.0,175435038.0
Function X,FX,0.201819,-0.3%,0.0%,6.0%,1920294.0,116558668.0,382737110.0
Pundi X,PUNDIX,0.448187,0.7%,-2.5%,0.9%,15183612.0,115618223.0,115618223.0
Nano,XNO,0.867025,1.5%,1.8%,5.6%,15294699.0,115348505.0,115348505.0
Ergo,ERG,1.76,-1.0%,-0.5%,-0.9%,948753.0,115340554.0,0.0
Tribe,TRIBE,0.251935,4.9%,-1.3%,0.9%,141711.0,114746676.0,252181890.0
Artificial Liquid Intelligence,ALI,0.03185259,0.1%,-10.2%,-10.4%,962809.0,114219353.0,318322584.0
COTI,COTI,0.104926,5.5%,1.8%,17.1%,32431927.0,113969765.0,205602105.0
Conflux,CFX,0.054308,1.8%,-7.8%,86.3%,23095994.0,113862866.0,0.0
sETH2,SETH2,1572.56,0.2%,-0.1%,-3.0%,522158.0,113089673.0,0.0
Gitcoin,GTC,1.88,-0.2%,2.5%,8.3%,12409225.0,112672497.0,188059107.0
Syscoin,SYS,0.157404,0.3%,-5.9%,-0.1%,5615398.0,109850023.0,118206477.0
Decentralized Social,DESO,10.39,0.2%,-6.8%,5.7%,595873.0,109098206.0,111959622.0
Marinade staked SOL,MSOL,25.91,0.6%,-1.6%,-2.5%,1403254.0,109020856.0,109020856.0
Saitama,SAITAMA,0.0024098,0.1%,-6.2%,-14.4%,1289501.0,107668935.0,240806356.0
BENQI Liquid Staked AVAX,SAVAX,20.71,0.2%,-2.9%,8.3%,1305199.0,107596672.0,0.0
My Neighbor Alice,ALICE,1.77,0.3%,-3.6%,8.3%,53086842.0,105628721.0,176678865.0
LooksRare,LOOKS,0.191259,-0.1%,-4.3%,-10.7%,5569620.0,104231509.0,191304331.0
CEEK Smart VR,CEEK,0.126226,-0.4%,-1.8%,12.8%,5257769.0,103037710.0,0.0
DeXe,DEXE,2.77,1.9%,4.4%,4.3%,3547476.0,102534650.0,0.0
Alpha Venture DAO,ALPHA,0.135222,0.2%,-5.3%,-0.9%,3788368.0,101352825.0,135137099.0
Status,SNT,0.02539068,0.4%,-1.1%,-3.9%,2624562.0,100634112.0,0.0
Lido Staked SOL,STSOL,25.74,0.2%,-1.6%,-2.7%,1513456.0,100357701.0,100357575.0
JUNO,JUNO,1.49,0.0%,-2.2%,3.0%,381613.0,100287365.0,276078429.0
Concordium,CCD,0.01477351,0.1%,1.9%,97.7%,800128.0,99188941.0,0.0
Numeraire,NMR,16.13,0.4%,-1.2%,-6.2%,2638294.0,99086595.0,177376997.0
Celer Network,CELR,0.01756334,-0.3%,-6.6%,2.1%,24445641.0,98974492.0,175317124.0
USDX,USDX,0.878051,-0.1%,-0.1%,-0.6%,253862.0,97825874.0,0.0
Cartesi,CTSI,0.147112,0.1%,0.0%,-1.9%,9121908.0,96148116.0,146970419.0
Chromia,CHR,0.169611,1.1%,-1.8%,10.5%,31492742.0,95395119.0,169652726.0
Bifrost,BFC,0.075556,0.1%,-7.2%,-7.5%,6923079.0,95362117.0,178189205.0
PlatonCoin,PLTC,0.834587,-0.1%,-0.3%,-0.7%,6.43,95263088.0,250473960.0
Wrapped Centrifuge,WCFG,0.263306,-0.0%,-5.2%,-3.6%,82140.0,95049800.0,0.0
Centrifuge,CFG,0.262065,-0.7%,-4.9%,-3.6%,288823.0,94608359.0,0.0
Magic Internet Money,MIM,0.998962,-0.1%,-0.2%,-0.3%,1349704.0,93513314.0,693883791.0
Galxe,GAL,2.01,0.4%,-2.5%,0.9%,21428549.0,93355474.0,0.0
Mobox,MBOX,0.539564,0.2%,-3.5%,8.2%,14097832.0,92958941.0,538696297.0
Radicle,RAD,1.89,1.0%,2.3%,9.0%,24288453.0,92297795.0,189022065.0
Coin98,C98,0.244231,-0.1%,3.9%,4.0%,45858254.0,92004123.0,244258735.0
MX,MX,0.91884,-0.2%,-0.7%,-1.2%,152267.0,91929024.0,0.0
LCX,LCX,0.11727,-2.4%,-10.6%,16.3%,6593666.0,91393263.0,0.0
Ankr Staked ETH,ANKRETH,1628.55,0.3%,-0.1%,-2.6%,40148.0,90677001.0,0.0
Vulcan Forged,PYR,3.84,4.0%,-1.7%,-8.6%,9081589.0,89863500.0,188017047.0
Persistence,XPRT,0.611477,-0.3%,-1.5%,-4.1%,365300.0,89829137.0,246545905.0
Medibloc,MED,0.01675181,1.1%,-1.2%,-1.4%,1869859.0,89751270.0,0.0
Kaspa,KAS,0.0056008,-0.6%,-1.9%,-13.8%,1311101.0,89345042.0,0.0
SuperRare,RARE,0.145009,-0.8%,-7.0%,12.4%,9470993.0,89301021.0,145123452.0
Humanscape,HUM,0.097109,1.0%,-3.1%,-2.9%,2587292.0,88717470.0,105357897.0
Spell,SPELL,0.00079406,0.2%,-1.2%,6.8%,16243897.0,88492075.0,166772615.0
Blox,CDT,0.130677,-3.3%,-13.0%,-7.5%,92178.0,88151947.0,0.0
Dent,DENT,0.00092064,0.2%,-0.6%,0.6%,4519779.0,88005384.0,0.0
Dejitaru Tsuka,TSUKA,0.087488,-0.5%,4.1%,28.1%,1883930.0,87694494.0,87694494.0
Mdex,MDX,0.092765,-0.2%,7.1%,3.6%,9785920.0,87515639.0,0.0
Axelar,AXL,0.590436,-0.6%,-1.4%,-0.1%,1351812.0,86748369.0,0.0
WINkLink,WIN,9.004e-05,0.4%,-2.1%,-2.3%,8396447.0,86637799.0,0.0
WazirX,WRX,0.189367,0.6%,1.6%,1.5%,7567056.0,86336252.0,0.0
